	RC	RC_subj	RC_subj_pos	relativizer_word	relativizer_func	RC_modifier_head	RC_modifier_NP	RC_location	RC_context	sentence
86582	which made it the perfect date - rape drug	it	PRON	which	nsubj	beverage	a flavored beverage	(14, 22)	(',', '.')	Virtually undetectable , it could be dissolved in a flavored or alcoholic beverage , which made it the perfect date-rape drug .
86583	that were still wide and square , despite the beer gut hanging below	that	DET	that	nsubj	shoulders	carpenter shoulders	(16, 28)	('shoulders', '.')	He was fifty-two , almost completely bald , and had strong carpenter 's shoulders that were still wide and square , despite the beer gut hanging below .
86584	who were watching as Lena chased Dale through the parking lot	Lena	PROPN	who	nsubj	six	the six	(21, 31)	('them', ',')	So what had started as a moment of sheer glee and a mild adrenaline surge for the six of them who were watching as Lena chased Dale through the parking lot , turned quickly to shock as the evil developer thwacked the Latin Santa-ette in the breadbasket with a satchel of minicubes .
86585	who was sitting next to me	who	PRON	who	nsubj	Lars	Lars	(12, 17)	(',', ',')	""" But she never got to finish , because Lars , who was sitting next to me , casually opened his suit jacket , revealing his sidearm ."
86586	who collected hair from virgins as a hobby	who	PRON	who	nsubj	dude	a dude	(31, 38)	('dude', '.')	Not necessarily because of Rasputin , but the czar 's subjects did kind of lose respect for him because he and his wife were listening to the advice of a dude who collected hair from virgins as a hobby .
86587	who is the most intelligent and gorgeous senior in the whole school	who	PRON	who	nsubj	Moscovitz	why Michael Moscovitz	(10, 21)	(',', '(')	Because how else can you explain why Michael Moscovitz , who is the most intelligent and gorgeous senior in the whole school
86588	who was cowering in his fur - lined basket by Grandmre 's magazine rack	who	PRON	who	nsubj	Rommel	Rommel	(16, 29)	(',', '.')	""" I cried , trying to get away , only to trip over Rommel , who was cowering in his fur-lined basket by Grandmre 's magazine rack . """
86589	who quipped	who	PRON	who	nsubj	grin	a cheeky grin	(24, 25)	(',', ',')	""" The horde , five in total , circled the so-called kid , a strapping young buck sporting a cheeky grin , who quipped , "" Me cheat ? """
86590	that stirred the frantic rage in Damian 's gut	that	DET	that	nsubj	thrashing	the brutal thrashing	(7, 15)	('thrashing', '.')	Yet it was not the brutal thrashing that stirred the frantic rage in Damian 's gut .
86591	who had murdered his brother	who	PRON	who	nsubj	fiends	the piratical fiends	(14, 18)	('fiends', '.')	His purpose in life was to destroy : to destroy the piratical fiends who had murdered his brother .
86592	that he was	he	PRON	that	attr	duke	him the duke	(18, 20)	('duke', '.')	In a safe aboard his ship was a series of credentials , all proclaiming him the duke that he was .
86593	which still stank of cigarettes	which	DET	which	nsubj	coat	his good black coat	(10, 14)	(',', ',')	, Ran had on his good black coat , which still stank of cigarettes , though he 'd given them up in anticipation of this trip , the first of many sacrifices he was prepared to make .
86594	who 'd grown up south of Broad	who	PRON	who	nsubj	girl	a Charleston girl	(21, 27)	('girl', '.')	Even nineteen years in a rock band could n't burn some good habits from the heart of a Charleston girl who 'd grown up south of Broad .
86595	to whom he owed the most	he	PRON	whom	pobj	man	the man	(31, 36)	('to', 'Aubrey')	the clarity of a mind seeing death , his father , Miles , reeled off the names of all those he owed money to , commencing with the man to whom he owed the most .
86596	who had known the family when they had had a brighter sun	they	PRON	who	nsubj	people	country people	(43, 54)	('generous', '.')	Aubrey 's sisters and their husbands were generous , and the three of them , in their little house on their little piece of land with a garden and chickens and two cows , were surrounded by country people just as generous who had known the family when they had had a brighter sun .
86597	that look like little skeletons	that	DET	that	nsubj	earrings	earrings	(3, 7)	('earrings', '.')	She wears earrings that look like little skeletons .
86598	who left their jackets	who	PRON	who	nsubj	children	"Or "" the children"	(5, 8)	('children', '@')	"Or "" Will the children who left their jackets @ @"
86599	who once ate a piece of the seat cushion on theschool bus	who	PRON	who	nsubj	Ryan	Ryan	(15, 26)	(',', '.')	""" What should we do for mischief night tonight ? "" asked Ryan , who once ate a piece of the seat cushion on theschool bus ."
86600	who never ties his shoes	who	PRON	who	nsubj	Michael	Michael	(10, 14)	(',', '.')	"T.P. somebody 's house , "" said Michael , who never ties his shoes ."
86601	who thinks she knows everything	she	PRON	who	nsubj	hair	brown hair	(12, 16)	('hair', '.')	""" Andrea is this girl in my class with curly brown hair who thinks she knows everything ."
86602	who keeps a dictionary on her desk so she can look up words and show everybody how smart she is	she	PRON	who	nsubj	kid	kid	(4, 23)	('world', '.')	"kid in the world who keeps a dictionary on her desk so she can look up words and show everybody how smart she is . """
86603	that she made all by herself in her knitting class	she	PRON	that	dobj	hat	this dumb hat	(7, 16)	('hat', '.')	Andrea was wearing this dumb hat that she made all by herself in her knitting class .
86604	who limp	who	PRON	who	nsubj	tubes	test tubes	(15, 16)	('Igor', '.')	Labs are supposed to have test tubes and mad scientists and hunchbacked guys named Igor who limp .
86605	who everybody calls the nude kid	everybody	PRON	who	dobj	Neil	Neil	(12, 17)	(',', ',')	""" My favorite holiday is Halloween , "" said Neil , who everybody calls the nude kid , even though he wears clothes ."
86606	who never ties his shoes	who	PRON	who	nsubj	friend	my other friend	(16, 20)	(',', '.')	""" My favorite holiday is my birthday , "" said my other friend Michael , who never ties his shoes ."
86607	that lip gloss and mascara	that	DET	that	nsubj	all	all	(16, 20)	('all', 'to')	"Mum said as she went out , "" Oh you must be sooo tired , all that lip gloss and mascara to carry round all day . """
86608	under which you came to meet the defendant	you	PRON	which	pobj	circumstances	the circumstances	(10, 17)	"('under', ""'"")"	Doctor , could you please describe the circumstances under which you came to meet the defendant ? '
86609	that hung above the stairwell at home on her family 's ranch where she spent her summers	she	PRON	that	nsubj	one	the one	(16, 32)	('one', '.')	Katy closed her eyes for a moment and thought of her favorite painting , the one that hung above the stairwell at home on her family 's ranch where she spent her summers .
86610	who were laughing and flirting and making plans to visit each other over the summer	who	PRON	who	nsubj	classmates	her classmates	(7, 21)	('classmates', '.')	She stood apart from her classmates who were laughing and flirting and making plans to visit each other over the summer .
86611	who is a doctor over at Bloomville Hospital	who	PRON	who	nsubj	friend	my friend	(8, 15)	(',', '.')	According to my friend Jason 's dad , who is a doctor over at Bloomville Hospital .
86612	who was baking a batch of homemade granola at the time	who	PRON	who	nsubj	father	my father	(6, 16)	(',', '.')	I blame my father , who was baking a batch of homemade granola at the time .
86613	that sounds familiar	that	DET	that	nsubj	names	those names	(5, 7)	('names', '.')	Have one of those names that sounds familiar .
86614	who coined the term	who	PRON	who	nsubj	one	the one	(4, 7)	"('one', '""')"	Lauren 's the one who coined the term
86615	which opened last weekend	which	DET	which	nsubj	Mart	a Super Sav - Mart	(31, 34)	(',', '.')	"I-69 ( "" connecting Mexico to Canada via a highway ' corridor ' "" through Indiana , among other states ) for the construction of a Super Sav-Mart , which opened last weekend ."
86616	he plans that to donate to the city	he	PRON	that	dobj	observatory	an observatory	(25, 32)	('observatory', '.')	Which means he 's been in the local paper a lot , especially since he spent a chunk of his money building an observatory that he plans to donate to the city .
86617	that filled the room	that	DET	that	nsubj	furniture	the expensive furniture	(22, 25)	('art', '.')	Instead the chamber was tastefully outfitted , from the rich oriental carpet beneath his feet to the expensive furniture and exquisite art that filled the room .
86618	that pierced through his own	that	DET	that	nsubj	blue	A stunning , captivating midnight blue	(6, 10)	('blue', '.')	A stunning , captivating midnight blue that pierced through his own .
86619	who protested every day at Market and Sixteenth	who	PRON	who	nsubj	visor	the plastic visor	(12, 19)	('visor', '.')	""" Repent , "" advised the wizened lady in the plastic visor who protested every day at Market and Sixteenth ."
86620	which is also usually dirty blond hair	which	DET	which	nsubj	cheekbones	strong cheekbones	(18, 24)	(',', '.')	we -- have strong cheekbones , long earlobes , hazel eyes , and dirty-blond hair , which is also usually dirty blond hair .
86621	that begins to divide in two around the sixth thoracic vertebra ,	that	DET	that	nsubj	column	a spinal column	(14, 25)	('column', 'flaring')	Novelties include the short third collarbone we share between us ; a spinal column that begins to divide in two around the sixth thoracic vertebra , flaring the upper chest ; two windpipes , two and a half lungs , and a deuce of hearts .
86622	who asked , no self - respecting bunch of extortionist rebels	who	PRON	who	nsubj	anyone	anyone	(6, 16)	('anyone', 'would')	No way Blair insisted to anyone who asked , no self-respecting bunch of extortionist rebels would ever want to kidnap him .
86623	who rousted all the livestock and people off the bus	who	PRON	who	nsubj	bunch	a efficient bunch	(25, 34)	('fatigues', '.')	Full speed ahead , and damn the politics ; as it happened they grabbed him near Popayn , a brutally efficient bunch in jungle fatigues who rousted all the livestock and people off the bus .
86624	that made the forest sound like a construction site	that	DET	that	nsubj	yammerings	their contrapuntal yammerings	(46, 54)	('crees', '.')	At night Blair registered a deep suck and gurgle , the engine of the forest 's vast plumbing system ; mornings they woke to the screams of piha birds , then the mixed-species flocks started in with their contrapuntal yammerings and groks and crees that made the forest sound like a construction site .
86625	who eyed him for a moment in a thoughtful way	who	PRON	who	nsubj	comandante	comandante	(2, 11)	(',', '.')	comandante , who eyed him for a moment in a thoughtful way .
86626	who looked like a spy	who	PRON	who	nsubj	somebody	somebody	(21, 25)	('somebody', '.')	""" However , "" Alberto continued , "" if they wanted to send a spy , they would n't send somebody who looked like a spy ."
86627	which resulted only in wanton killing and the looting and burning of homes	which	DET	which	nsubj	raid	the raid	(11, 23)	(',', '.')	There appeared to be no military purpose to the raid , which resulted only in wanton killing and the looting and burning of homes .
86628	that stood alongside the railroad tracks	that	DET	that	nsubj	tower	the water tower	(6, 11)	('tower', '.')	"Jesse pointed to the water tower that stood alongside the railroad tracks . """
86629	that stabbed ahead	that	DET	that	nsubj	beam	a long beam	(23, 25)	('beam', ',')	The reflector gathered all the light from the gas flame , intensified it , and then projected it forward in a long beam that stabbed ahead , picking up insects to gleam in the light .
86630	that poured from the flared smokestack	that	DET	that	nsubj	smoke	the heavy black smoke	(11, 16)	('smoke', '.')	He could see bright sparks embedded in the heavy black smoke that poured from the flared smokestack .
86631	that hung down from the curved mouth of the long water spout	that	DET	that	nsubj	line	the line	(15, 26)	('line', '.')	By now the fireman was already standing on the tender , reaching for the line that hung down from the curved mouth of the long water spout .
86632	who could hold a shovel	who	PRON	who	nsubj	person	Every person	(3, 7)	('person', 'was')	Every person who could hold a shovel was needed elsewhere , and still there were not enough of them .
86633	that will burn	that	DET	that	nsubj	anything	anything	(6, 8)	('anything', '...')	Make it out of anything that will burn ...
86634	that creeps north and west of the river	that	DET	that	nsubj	prairie	the prairie	(70, 77)	('prairie', ',')	Near the headwaters of the muddy Mississippi , past the blue glass of the cities and the stained red brick of the warehouse districts , past the long-abandoned train stations and the Grain Belt sign and the Pillsbury Flour building on the riverbanks , past the smokestacks and hulking wrecks of the industrial section , the town lies past all this , in the center of the prairie that creeps north and west of the river , into the Dakotas .
86635	that constantly impinges on us	that	DET	that	nsubj	death	the death	(9, 13)	('death', '...')	Every breath we draw wards off the death that constantly impinges on us ...
86636	which forever changed his life	which	DET	which	nsubj	moment	a terrible moment	(10, 14)	('earlier', '.')	@ , until a terrible moment four weeks earlier which forever changed his life .
86637	who accepted the risk and trusted Bob King to withdraw on his own from Vicodan	who	PRON	who	nsubj	Julius	Julius	(27, 41)	(',', '.')	As a last resort before quitting his practice and taking a leave of absence to be treated anonymously in another city , he appealed to Julius , who accepted the risk and trusted Bob King to withdraw on his own from Vicodan .
86638	which reminds him of Mr. Harlow , his fifth - grade teacher	which	DET	which	nsubj	ice	dry ice	(23, 34)	(',', '.')	Freezing , in fact -- the steam leaks from his mouth and reminds him of an elementary school experiment with dry ice , which reminds him of Mr. Harlow , his fifth-grade teacher .
86639	that were still too painful to contemplate	that	DET	that	nsubj	circumstances	circumstances	(17, 23)	('circumstances', '.')	She had died this very day , Christmas Eve , one year ago exactly , under circumstances that were still too painful to contemplate .
86640	that was as smooth and white as milkweed silk	that	DET	that	nsubj	skin	skin	(3, 11)	('skin', '.')	She wanted skin that was as smooth and white as milkweed silk .
86641	who had only one thing on their minds	who	PRON	who	nsubj	men	boring men	(12, 19)	('men', '.')	And they were n't expected to prepare gourmet feasts for boring men who had only one thing on their minds . . .
86642	that hung almost to her shoulders	that	DET	that	nsubj	lots	lots	(23, 28)	('hair', '.')	Even from this distance he could see she had big blue eyes , a little nose , and lots of curly brown hair that hung almost to her shoulders .
86643	that rode low	that	DET	that	nsubj	jeans	jeans	(4, 6)	('jeans', ',')	No shirt , jeans that rode low , a red heart tattooed on his left forearm .
86644	which was turning out to be a job requirement	which	DET	which	nsubj	mask	a professional mask	(16, 24)	(',', '.')	The courtroom was packed , and she hid her anticipation behind a professional mask , which was turning out to be a job requirement .
86645	that counted , like the final two minutes in a basketball game	that	DET	that	nsubj	day	the only day	(15, 26)	('day', '.')	The jury trial had taken all last week , but today was the only day that counted , like the final two minutes in a basketball game .
86646	who won	who	PRON	who	nsubj	Wonder	Wonder	(1, 2)	('Wonder', '.')	Wonder who won .
86647	that begged to be ironed	that	DET	that	nsubj	suit	a dark suit	(20, 24)	('suit', ',')	Nathan Temin was a roly-poly lawyer with the paunch of a much older man and a dark suit that begged to be ironed , worn with equally unruly black hair .
86648	for which Cate thanked God and Chief Judge Sherman	Cate	PROPN	which	pobj	cameras	cameras	(15, 23)	"('for', '""')"	"The Eastern District of Pennsylvania did n't allow cameras in the courtroom , for which Cate thanked God and Chief Judge Sherman . """
86649	that sprouted from under a crocheted yarmulke	that	DET	that	nsubj	curls	brown curls	(24, 30)	('curls', '.')	He smiled tightly , his lips taut as a rubber band , and he ran a finger-rake through muddy-brown curls that sprouted from under a crocheted yarmulke .
86650	that teetered , then , gradually , with time , righteditself	that	DET	that	nsubj	sort	A shaky sort	(5, 15)	('acceptance', '.')	A shaky sort of acceptance that teetered , then , gradually , with time , righteditself .
86651	that still slept	that	DET	that	nsubj	sheep	the sheep	(15, 17)	('sheep', '.')	He arose and , taking up his crook , began to awaken the sheep that still slept .
86652	who took a bit longer to awaken	who	PRON	who	nsubj	them	them	(6, 12)	('them', '.')	But there were certain of them who took a bit longer to awaken .
86653	who lived in the village	who	PRON	who	nsubj	merchant	a merchant	(24, 28)	('merchant', 'they')	But for the past few days he had spoken to them about only one thing : the girl , the daughter of a merchant who lived in the village they would reach in about four days .
86654	that vaguely recalled the Moorish conquerors	that	DET	that	nsubj	eyes	eyes	(18, 23)	('eyes', '.')	The girl was typical of the region of Andalusia , with flowing black hair , and eyes that vaguely recalled the Moorish conquerors .
86655	that they talked	they	PRON	that	mark	hours	the two hours	(5, 7)	('hours', ',')	During the two hours that they talked , she told him she was the merchant 's daughter , and spoke of life in the village , where each day was like all the others .
86656	that concerned the sheep	that	DET	that	nsubj	things	The only things	(3, 6)	('things', 'were')	The only things that concerned the sheep were food and water .
86657	which I knew perfectly well	I	PRON	which	dobj	name	Her name	(4, 8)	(',', ',')	"Her name , which I knew perfectly well , slipped into some temporarily unrecoverable place . """
86658	which were bare , extremely small	which	DET	which	nsubj	feet	her feet	(9, 14)	(',', ',')	She seemed to be smiling at her feet , which were bare , extremely small , and decorated with silver toe rings ...
86659	who 'd given me life	who	PRON	who	nsubj	Selene	Selene	(3, 7)	(',', ',')	Selene , who 'd given me life , was small , dark , feminine as a fan .
86660	who drilled them daily in the use of sword and spear , shield and ax	who	PRON	who	nsubj	trainers	trainers	(13, 27)	('trainers', '.')	She favored her sons , but their time was given over to trainers who drilled them daily in the use of sword and spear , shield and ax .
86661	who nodded her approval	who	PRON	who	nsubj	Marcella	Marcella	(5, 8)	(',', '.')	I glanced at Marcella , who nodded her approval .
86662	who felt entitled	who	PRON	who	nsubj	People	People	(1, 3)	('People', ',')	People who felt entitled , even obligated , to impose their wills on me were everywhere .
86663	who sat trustingly at his feet	who	PRON	who	nsubj	wolf	the wolf	(9, 14)	('wolf', '.')	He grabbed a sword and lunged toward the wolf who sat trustingly at his feet .
86664	who shrieked	who	PRON	who	nsubj	I	I	(8, 9)	('I', '?')	The wolf screamed horribly or was it I who shrieked ?
86665	whose name is Run - Run	name	NOUN	whose	poss	boy	The boy	(4, 9)	(',', ',')	The boy , whose name is Run-Run , sometimes sleeps between the elephant 's front legs , safe from the world .
86666	that had allowed him to send his son off to the city and to school	him	PRON	that	nsubj	bargaining	relentless bargaining	(5, 19)	('bargaining', '.')	It was relentless bargaining that had allowed him to send his son off to the city and to school .
86667	who was more respected or even better - looking than Ian	who	PRON	who	nsubj	guy	a guy	(21, 31)	('guy', '.')	And she loved her parents , and she loved Ian 's parents , and you really could n't find a guy who was more respected or even better-looking than Ian .
86668	who heard the whirring sounds of electronic gambling in the background	who	PRON	who	nsubj	Kat	Kat	(4, 14)	('Kat', '.')	and it was Kat who heard the whirring sounds of electronic gambling in the background .
86669	who knew her	who	PRON	who	nsubj	someone	someone	(36, 38)	('someone', '.')	When Fawn had started on this miserable journey six days ago , she had cadged rides from wagons at every chance as soon as she 'd walked far enough from home not to risk encountering someone who knew her .
86670	who would do us harm and bring us evil	who	PRON	who	nsubj	those	those	(33, 41)	('those', '...')	"As his National Security Advisor awkwardly paused , the President concluded the time of prayer with , "" And God , please protect our country and keep our people safe from those who would do us harm and bring us evil ... amen . """
86671	that delivers seawater to most of the Northeast Saudi nodes and controls the undersea distribution network in the northern Persian Gulf	that	DET	that	nsubj	Station	The Safaniya Offshore Pumping Station	(5, 25)	('Station', 'is')	The Safaniya Offshore Pumping Station that delivers seawater to most of the Northeast Saudi nodes and controls the undersea distribution network in the northern Persian Gulf is simply gone .
86672	who did this	who	PRON	who	nsubj	idea	Any idea	(3, 5)	('idea', '?')	""" Any idea who did this ? "" asked the President . """
86673	who wasted few words	who	PRON	who	nsubj	man	a man	(17, 20)	('man', '.')	At seventy , Dan Powers was the oldest one in the room and known as a man who wasted few words .
86674	that was returning from Iraq to Camp Lejeune to divert to Qatar to beef up security for the Umm Sa'id POL storage facility	that	DET	that	nsubj	Unit	a Marine Expeditionary Unit	(9, 31)	('Unit', '.')	"We 've ordered a Marine Expeditionary Unit that was returning from Iraq to Camp Lejeune to divert to Qatar to beef up security for the Umm Sa'id POL storage facility . """
86675	that is common in the rest of the world	that	DET	that	nsubj	system	their extraction system	(11, 19)	('system', '.')	Unfortunately there 's very little in their extraction and distribution system that is common in the rest of the world .
86676	that Jeb keeps	Jeb	PROPN	that	dobj	Documents	the Presidential Emergency Action Documents	(14, 16)	('Documents', 'locked')	"Get the appropriate Emergency Executive Order out of the Presidential Emergency Action Documents that Jeb keeps locked up down here somewhere and bring it by the Oval Office this afternoon . """
86677	who had escaped to New York after med school to finish his training in the city of psychoanalysis	who	PRON	who	nsubj	Methodist	a lapsed Methodist	(10, 27)	('Methodist', '.')	Zack was a native Virginian , a lapsed Methodist who had escaped to New York after med school to finish his training in the city of psychoanalysis .
86678	who called back	who	PRON	who	nsubj	wife	the wife	(4, 6)	('wife', '.')	It was the wife who called back .
86679	who paints paintings	who	PRON	who	nsubj	artist	An artist	(2, 4)	('artist', '?')	"An artist who paints paintings ? "" asked Ross in his deep , leisurely drawl . """
86680	who responded with a deliberate , end - of - the - session cheerfulness	who	PRON	who	nsubj	woman	an elderly woman	(17, 30)	('woman', '.')	""" They could hear Zack out front , bidding goodbye to his patient , an elderly woman who responded with a deliberate , end-of-the-session cheerfulness ."
86681	that was the lane - home and food and rest	that	DET	that	nsubj	world	the world	(17, 26)	('world', 'and')	On a night with the moon he could see some of the smoke rising from the world that was the lane - home and food and rest and what passed in many cabins for the life of family .
86682	that he washed over his face	he	PRON	that	dobj	water	water	(32, 37)	('water', '.')	Well into the forest the rain came in torrents through the trees and the mighty summer leaves and after a bit Moses stopped and held out his hands and collected water that he washed over his face .
86683	that he could	he	PRON	that	dobj	all	all	(12, 14)	('all', 'without')	His eyes had remained open , and after taking in all that he could without turning his head , he took up his thing and did it .
86684	that had pulled up in front of the theatre	that	DET	that	nsubj	taxicab	a junky taxicab	(19, 27)	('taxicab', '.')	"Our limousine is waiting , "" the woman said , jutting her chin out toward a junky taxicab that had pulled up in front of the theatre ."
86685	that snapped Deena out of the trance she 'd fallen into as she followed the back - alley theatrics	she	PRON	that	nsubj	move	a move	(12, 30)	('move', '.')	Curtis quickly stopped the stage door with his foot , a move that snapped Deena out of the trance she 'd fallen into as she followed the back-alley theatrics .
86686	who was just scarcely out of babyhood	who	PRON	who	nsubj	Sunny	Sunny	(3, 9)	(',', ',')	And Sunny , who was just scarcely out of babyhood , would have sliced the onion into bite-sized pieces with her unusually sharp teeth , and put her newly developed cooking skills to good use in order to turn a simple onion into something quite tasty indeed .
86687	"which here means "" announced for the umpteenth time"	which	DET	which	nsubj	word	a word	(7, 15)	('word', '.')	"Count Olaf reiterated , a word which here means "" announced for the umpteenth time . """
86688	that served as the boat 's figurehead	that	DET	that	nsubj	suit	a diving suit	(24, 30)	('suit', '.')	He stood proudly at the front of the boat , leaning against a carving of an octopus attacking a man in a diving suit that served as the boat 's figurehead .
86689	that I was ' too altruistic ' to continue in the school	I	PRON	that	mark	semester	one semester	(11, 22)	('semester', '.')	Dr. Arlett , however , decided after just one semester that I was ' too altruistic ' to continue in the school .
86690	who disliked me	who	PRON	who	nsubj	sister	My older sister	(4, 6)	(',', ',')	My older sister , who disliked me , was attending Miss Daugherty 's School for Girls ; she sometimes brought friends home , but she did n't let them play with me .
86691	who was so often overwrought at home ,	who	PRON	who	nsubj	She	She	(1, 8)	('She', 'given')	She who was so often overwrought at home , given to rages or fits of weeping , would become strangely calm and professional when administering a test .
86692	who would mount the sleeper and ride	who	PRON	who	nsubj	wizard	the wizard	(12, 18)	('wizard', '.')	That was always her answer to a nightmare -- the wizard who would mount the sleeper and ride .
86693	that was bending over it	that	DET	that	nsubj	form	the other form	(21, 25)	('form', '.')	Their mouths dropped and six bleary eyes swam over to the body lying in the street and the other form that was bending over it .
86694	who can sell you a strong gun washed with good & shy ; magic	who	PRON	who	nsubj	man	a man	(6, 19)	('man', '.')	"My son knows a man who can sell you a strong gun washed with good &shy; magic . """
86695	that had declared themselves independent states and were being deprived of all services by Abidjan in an apparent attempt to siege them into submission	themselves	PRON	that	nsubj	matter	the matter	(21, 44)	('Tengrla', '.')	Oh yes , there was also the matter of a few towns in the far north like Kong and Tengrla that had declared themselves independent states and were being deprived of all services by Abidjan in an apparent attempt to siege them into submission .
86696	that stays the same	that	DET	that	nsubj	thing	the one thing	(5, 8)	('thing', ':')	This is the one thing that stays the same : my husband got hurt .
86697	who was editing the hottest detective magazine of the day	who	PRON	who	nsubj	man	the man	(11, 20)	('man', ';')	It was very good to be working for the man who was editing the hottest detective magazine of the day ; in 1953 alone , fourteen of my stories appeared in Manhunt under the Marsten , Hunter , or Collins bylines .
86698	that had spun dizzilythrough the range of his emotions	that	DET	that	nsubj	spiral	a spiral	(10, 18)	('spiral', '.')	His gradual descent to disbelief had been a spiral that had spun dizzilythrough the range of his emotions .
86699	who 'd spent the night in the cell block	who	PRON	who	nsubj	guy	a guy	(5, 13)	('guy', ',')	him , a guy who 'd spent the night in the cell block , too .
86700	which began at nine	which	DET	which	nsubj	lineup	the lineup	(19, 22)	('lineup', '.')	When they arrived at the Center Street Headquarters , they put them in detention cells , awaiting the lineup which began at nine .
86701	who 'd arrested him	who	PRON	who	nsubj	cop	the cop	(17, 20)	('cop', 'originally')	At ten minutes to nine they led him out of his cell , and the cop who 'd arrested him originally took him into the special prisoners ' elevator .
86702	who sat at a desk in front of the stage	who	PRON	who	nsubj	man	one man	(20, 29)	('clothing', '.')	There were uniformed cops stationed here and there around the room , and there was one man in civilian clothing who sat at a desk in front of the stage .
86703	which had sounded more like a weather - wet firecracker	which	DET	which	nsubj	gunshot	The gunshot	(4, 13)	(',', ',')	The gunshot , which had sounded more like a weather-wet firecracker , could not possibly have hit one of Casey 's vital organs .
86704	that threaten you -- like how blood in the ocean draws sharks ,	blood	NOUN	that	nsubj	thoughts	the thoughts	(8, 20)	('thoughts', 'and')	Of course , there are always the thoughts that threaten you--like how blood in the ocean draws sharks , and
86705	that was n't real	that	DET	that	nsubj	anything	anything	(32, 35)	('mind', '.')	It had been too dark to see anything but a few clusters of our friends up on the pier in silhouette , and I triedhard not to put anything in my mind that was n't real .
86706	who 'd sneaked up on the old pier with us	who	PRON	who	nsubj	Nobody	Nobody	(3, 12)	('Nobody', 'would')	""" Nobody who 'd sneaked up on the old pier with us would intentionally hurt Casey ."
86707	that had gone over the top	that	DET	that	nsubj	prank	all a big prank	(8, 13)	('prank', '.')	Maybe this was all a big prank that had gone over the top .
86708	that are sacred for lifeguards	that	DET	that	nsubj	weekends	weekends	(16, 20)	('weekends', '.')	I probably could have got time off for a Monday through Thursday--it 's weekends that are sacred for lifeguards .
86709	who would risk going up on the burned - out old pier	who	PRON	who	nsubj	lovers	lovers	(14, 25)	('lovers', '.')	and of course there were always the daredevils , loadies , and lovers who would risk going up on the burned-out old pier .
86710	which is actually pretty big	which	DET	which	nsubj	pier	the old fishing pier	(12, 16)	(',', ',')	When my dad was a kid , the old fishing pier , which is actually pretty big , had been turned into The Haunt , an amusement pier with an enormous haunted mansion exhibit at the entrance .
86711	who made them do it	them	PRON	who	nsubj	vampires	""" the vampires"	(15, 19)	"('vampires', '""')"	"But island lore about "" sightings of the suicide victims "" and "" the vampires who made them do it "" did n't fit the mood in the police station , where I now found myself ."
86712	who turned out to be giant ants	who	PRON	who	nsubj	ladies	two ladies	(26, 32)	('ladies', ',')	""" I do n't know , "" said Wally , "" but in the past twenty-four hours , we were adopted by two ladies who turned out to be giant ants , we were attacked by a glowing ten-foot-long slug"
86713	that bordered the swamps at the city limits	that	DET	that	nsubj	intersection	a way intersection	(11, 18)	('intersection', '.')	The first stoplight they hit was a five-way intersection that bordered the swamps at the city limits .
86714	that radiates from their limp , flabby bodies with the skeletons on the inside instead of on the outside where skeletons belong	skeletons	NOUN	that	nsubj	heat	the revolting heat	(4, 25)	('heat', '.')	"Hate the revolting heat that radiates from their limp , flabby bodies with the skeletons on the inside instead of on the outside where skeletons belong . """
86715	that was waiting for them	that	DET	that	nsubj	taxicab	the taxicab	(20, 24)	('taxicab', ',')	Taking their own sweet time about it , Dagmar and Hedy circled the restrooms and returned to the taxicab that was waiting for them , its meter running .
86716	that you know of where we can hire a pilot and a small crop - dusting plane	we	PRON	that	dobj	airport	the nearest airport	(10, 26)	('airport', '.')	"You will now drive us to the nearest airport that you know of where we can hire a pilot and a small crop-dusting plane . """
86717	that 's on the meter right now and then get the heck out of my face	that	DET	that	nsubj	cents	five cents	(12, 27)	('cents', '!')	"Pay me the twenty-eight dollars and seventy-five cents that 's on the meter right now and then get the heck out of my face ! """
86718	that looked like a huge pair of horrible black pliers ,	that	DET	that	nsubj	mouth	her horrible mouth	(29, 39)	('mouth', 'only')	"She peeled away the bottom of her flesh-colored rubber human mask , revealing her horrible ant head with her gigantic black eyes , and her horrible mouth that looked like a huge pair of horrible black pliers , only sharper . """
86719	who can oversee more advanced work than his present teacher	who	PRON	who	nsubj	tutor	a magic tutor	(33, 42)	('tutor', '.')	Arthur claims to have seen things in it , and if he is neither making up tales nor using an existing spell , I may need to find him a magic tutor who can oversee more advanced work than his present teacher .
86720	that sometimes persuades her to be less firm with him than she ought	she	PRON	that	nsubj	partiality	a decided partiality	(24, 36)	('him', '.')	For he is sure to get into some scrape while her back is turned , and she has a decided partiality for him that sometimes persuades her to be less firm with him than she ought .
86721	who was beginning to look vaguely rumpled already	who	PRON	who	nsubj	Papa	Papa	(3, 10)	('(', ')')	Papa ( who was beginning to look vaguely rumpled already ) gave me a bottle of brandy ( in case any of us should be carriage-sick ) and another list of antiquities he had forgotten to include the first time .
86722	that did severe damage to his cravat	that	DET	that	nsubj	hug	a hug	(11, 17)	('hug', 'and')	Oliver , to my complete astonishment , gave me a hug that did severe damage to his cravat and promised James and me one of Thunder 's foals .
86723	who he said filled the same office	he	PRON	who	nsubj	man	a man	(15, 21)	(',', ',')	James had brought his valet and Thomas had brought a man named Piers , who he said filled the same office , but neither Kate nor
86724	that I realized	I	PRON	that	dobj	deck	the deck	(9, 11)	('deck', 'my')	It was only when I reached the deck that I realized
